scenario_id,a_record_id,b_record_id,expected
S06,A-CL-601,B-CL-401,MATCH
S06,A-CL-602,B-CL-401,MATCH
S06,,B-CL-499,B_ONLY
S04,A-CO-401,B-CO-601,MATCH
S04,,B-CO-602,B_ONLY
S04,,B-CO-603,B_ONLY
S01,A-EX-101,B-EX-901,MATCH
S01,A-EX-102,B-EX-902,MATCH
S01,A-EX-199,,A_ONLY
S01,,B-EX-999,B_ONLY
S07,A-IV-701,B-IV-301,MATCH
S05,A-NT-501,B-NT-511,MATCH
S05,,B-NT-512,B_ONLY
S02,A-NO-201,B-NO-801,MATCH
S02,A-NO-299,,A_ONLY
S02,,B-NO-899,B_ONLY
S09,A-PR-901,B-PR-101,MATCH
S09,A-PR-999,,A_ONLY
S09,,B-PR-199,B_ONLY
S08,A-RG-801,B-RG-201,MATCH
S08,A-RG-802,B-RG-202,MATCH
S08,A-RG-803,B-RG-203,MATCH
S10,A-RT-101,B-RT-501,MATCH
S10,A-RT-102,B-RT-501,MATCH
S10,A-RT-103,B-RT-503,MATCH
S10,A-RT-104,B-RT-504,MATCH
S10,,B-RT-502,B_ONLY
S10,,B-RT-599,B_ONLY
S03,A-FZ-301,B-FZ-701,MATCH
S03,,B-FZ-702,B_ONLY
