vendor_id,vendor_name,phone,contact_email,street,city,state,zip,website,account_status,balance,updated_at
A000001,Evergreen Dental LLC 1113,(555) 018-8182,accounts@evergreendentalllc11131135.example,2276 River Rd,Raleigh,NC,27601,,on_hold,15599.70,2026-04-04T14:00:00Z
A000002,WESTFIELD FOODS LLC 1140,(555) 115-5773,,3277 Industrial Road,Austin,TX,78701,https://www.westfieldfoodsllc11401162.example/directory,on_hold,15936.74,2026-07-11T01:00:00Z
A000003,Harbor Wholesale Corporation,,ACCOUNTS@harborwholesalecorpcrati216.example,7476 Oak Avenue,Richmond,VA,23219,https://legacy-cd39de5675c7.invalid,active,2942.13,2025-07-19T04:00:00Z
A000004,Evergreen Foods Corp 933,555-418-4912,,5406 River Rd,Columbus,OH,43215,,on_hold,13106.32,2026-12-20T00:00:00Z
A000005,Maple Logistics LLC 746,(555) 011-6408,,8302  Oak Avenue,Richmond,VA,23219,https://legacy-d8436bc32fc4.invalid,inactive,10511.98,2025-01-13T19:00:00Z
A000006,MAPLE WHOLESALE LIMITED,(555) 014-8953,accounts@maplewholesalelimited318.example,1450  Oak Avenue,Portland,ME,04101,,inactive,4282.56,2026-08-17T13:00:00Z
A000007,Evergreen Packaging LLC 1173,,accounts@evergreenpackagingllc1171195.exrmple,4494 River Road,Columbus,OH,43215,,on_hold,16383.65,2026-05-18T14:00:00Z
A000008,Redwood Foods Inc 838,,ACCOUNTS@redwoodfoodsincorpowated860.example,1892 Main St,Denver,CO,80202,https://redwoodfoodsincorporated860.example,on_hold,11879.05,2026-08-14T15:00:00Z
A000009,Keystone Wholesale Corporation,,,7505 River Rd,Albany,NY,12207,,on_hold,2897.11,2026-06-21T02:00:00Z
A000010,PIONEER WHOLESALE LLC,,,5188 Market Street,Columbus,OH,43215,https://legacy-d46dc5c9fdac.invalid,active,5675.51,2026-08-30T18:00:00Z
A000011,Cedar Logistics Ltd 1042,(555) 017-3293,,9442 Main St,Richmond,VA,23219,,active,14598.10,2026-04-14T16:00:00Z
A000012,Pioneer Technology LLC 787,+1 (595) 012-9496,,9813 Market St,Albany,NY,12208,,active,11057.18,2025-09-30T12:00:00Z
A000013,Redwood Analytics LLC 708,,accounts@redwoodanalyticsllc708730.example,6895 Industrial Road,Austin,TX,78701-0000,,on_hold,10026.57,2026-08-07T22:00:00Z
A000014,Keystone Foods Corporation 935,+2 (555) 010-2524,accounts@keystonefoodsaorporation957.example,5486 Commerce Ave,Madison,WI,53703-0000,,inactive,13120.20,2025-06-12T16:00:00Z
A000015,Pioneer Uechnology LLC,+1 555-019-1068,accounts@pioneertechnologyllc409.example,4815 River Road,Albany,NY,12207,,on_hold,5560.60,2026-01-22T07:00:00Z
A000016,EvergreenFoods Corporation 533,,ACCOUNTS@everareenfoodscorporatio555.example,411 Commerce Avenue,Columbus,OH,43215,,active,7622.78,2026-06-05T22:00:00Z
A000017,Keystone Technology Incorporated,,,3441 Market,Columbus,OH,43215,https://legacy-7d9f01b10c26.invalid,active,1375.59,2025-05-15T18:00:00Z
A000018,Westfield Dental Corp 920,(565) 085-9136,,4932 Oak Avenue,Portland,ME,04101,,inactive,12901.28,2026-06-01T13:00:00Z
A000019,MAPLE MANUFACTURING LLC 756,555-011-6750,,8663 Industrial Road,Austin,TX,78701,,on_hold,10696.46,2026-02-28T17:00:00Z
A000020,Westfield Technology Corporation,(555) 025-7186,,7327 Main St,Denver,CO,80202,,active,2887.73,2025-01-19T15:00:00Z
A000021,Keystone Foods LLC 735,555-010-2602,,7888 River Road,Madison,WI,53703,,on_hold,10355.32,2025-10-11T20:00:00Z
A000022,Maple Technology Ltd,555-011-1160,,1077  Main Street,Denver,CO,80202,https://legacy-bb934e83e0ac.invalid,active,4140.21,2025-12-04T03:00:00Z
A000023,REDWOOD EQUIPMENT CORPORATION,,accounts@redwoodequipmentiorporat150.example,5021 Oak,Portland,ME,04101,https://legacy-97ee26553291.invalid,inactive,2011.44,2026-07-18T13:00:00Z
A000024,MAPLE WHOLESALE LLC,,,5140 Industrial Road,Austin,TX,78702,,active,5760.15,2026-08-07T00:00:00Z
A000025,Harbor Dental Corporation 914,555-019-7216,,4716 Oak Ave,Richmond,VA,,,inactive,12858.48,2025-07-14T06:00:00Z
A000026,Harbor Logistics Limited 1044,,accounts@harborlogisyicslimited101066.example,9529 Industrial Road,Austin,TX,78701,,on_hold,14641.11,2025-02-28T21:00:00Z
A000027,Blue Ridge Manufacturing LLC 751,(555) 016-2016,accounts@blueridtemanufacturingll773.example,8476 Market St,Madison,WI,53703-0000,,inactive,10662.23,2026-10-12T21:00:00Z
A000028,Pioneer Foods Incorporated,,accounts@pioneerfoodsincorporated59.example,1680 Market Street,Columbus,OH,43215-0000,https://legacy-88d2bb16aa57.invalid,active,722.46,2025-12-31T23:00:00Z
A000029,Pioneer Manufacturing Limited 657,,,5005 River Road,Raleigh,NC,,,on_hold,9319.47,2025-02-18T14:00:00Z
A000030,Summit Dental LLC 1119,,accounts@summitdentalluc11191141.example,2496 River Rd,Madison,WI,53703,https://www.summitdentalllc11191141.example/directory,on_hold,15632.88,2025-06-26T21:00:00Z
A000031,Everhreen Dental Incorporated 413,+1 (555) 018-8991,ACCOUNTS@evergreendentaxincorpora435.example,5773 Commerce Ave,Columbus,OH,43215-0000,https://legacy-a9491b6f3bf5.invalid,on_hold,6031.87,2026-07-14T00:00:00Z
A000032,Redwood Manufacturing LLC,+1 555-013-4902,,3736 Main St,Denver,CO,80202-0000,,active,5150.64,2025-12-18T15:00:00Z
A000033,Cedar Office Supply LLC,,ACCOUNTS@cedasofficesupplyllc384.example,3887 Oak Avenue,Richmond,VA,23219,,active,5190.88,2025-09-13T19:00:00Z
A000034,Pioneer Packaging Corporation 577,,,2038  Market Street,Raleigh,NC,27601,https://www.pioneerpackagingcorporat599.example/directory,active,8153.33,2026-11-17T18:00:00Z
A000035,Maple Office Supply LLC,,accounts@mapleofficesupplyllc388.example,4041 Industrial Road,Denver,CO,80203,,inactive,5382.40,2026-05-10T10:00:00Z
A000036,Harbor Office Supply Inc 464,,accounts@harbodofficesupplyincorp486.example,7663 Oak Avenue,Portland,ME,04101-0000,https://harborofficesupplyincorp486.example,inactive,6656.18,2026-02-19T18:00:00Z
A000037,EVERGREEN PACKAGING LIMITED,,,598 River Road,Raleigh,NC,,https://legacy-a828436ab5c6.invalid,on_hold,3979.31,2026-05-01T19:00:00Z
A000038,Blue Ridge Analytics Corporation 501,555-016-3599,accounts@bluerihgeanalyticscorpor523.example,9030 River Rd,Columbus,OH,43215,,on_hold,7115.15,2025-01-14T14:00:00Z
A000039,Blue Ridge Manufacturing Incorporated 451,,accounts@blueridgeaanufacturingin473.example,7173 Market Street,Albany,NY,12207,,on_hold,6550.32,2025-06-06T23:00:00Z
A000040,Westfield Logistics LLC,,,3437 Oak Avenue,Denver,CO,80202,,on_hold,5030.19,2026-09-11T01:00:00Z
A000041,MAPLE PACKAGING LLC,,,4410 Main Street,Portland,ME,04101,https://maplepackagingllc398.example,active,5426.50,2025-12-06T22:00:00Z
A000042,Cedar Technology Limited,(555) 017-6114,accounts@cedartechnologylimitad304.example,928 Industrial Rd,Richmond,VA,23219,https://legacy-adcd59977a54.invalid,on_hold,4127.98,2025-08-11T23:00:00Z
A000043,Maple Equipment LLC 726,,,7549  Industrial Rd,Denver,CO,80202,https://legacy-90b1ea35402c.invalid,on_hold,10253.87,2026-01-24T01:00:00Z
A000044,PIONEER ANALYTICS LIMITED 1007,555-012-5562,accounts@pioneeranalyticslimited11029.examele,8150  Commerce Avenue,Madison,WI,53703,,inactive,14107.96,2026-03-28T02:00:00Z
A000045,Pioneer Dental Limited 617,,accounts@pioneerdentxllimited617639.example,3527 Commerce,Raleigh,NC,27601,,inactive,8769.28,2026-12-31T05:00:00Z
A000046,Maple LLC,,accounts@mapleequipmentllc348.example,2553 Oak,Denver,CO,80202-0000,,inactive,4719.96,2026-06-05T07:00:00Z
A000047,Pioneer Dental Incorporatee,155-012-4560,ACCOUNTS@psoneerdentalincorporate39.example,919 Commerce Avenue,Raleigh,NC,27601,https://www.pioneerdentalincorporate39.example/directory,inactive,492.58,2026-12-15T07:00:00Z
A000048,KEYSTONE MANUFACTURING INCORPORATED,555-010-8130,accounts@keystonemanufacturinginc77.example,2321 Market Street,Madison,WI,53703,https://legacy-75cf0dda32da.invalid,inactive,1021.36,2026-01-30T18:00:00Z
